species,mass_kg,gait_type,target_speed_m/s,stiffness_Nm/rad,stiffness_normalised,return_status,unified_return_status,solver_success,iter_count,cost_total,cost_acceleration,cost_COT,stride_period_s,stride_length_m,achieved_avg_speed_m/s,n_phases,n_stance_phases,total_stance_time_s,flight_time_s,spine_peak_deg,spine_min_deg,spine_ROM_deg,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,notes
cheetah,45.5,transverse,8,4.55,0.1,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,57,54.9732,16.5336,38.4396,0.340533,2.72426,8,8,7,0.196394,0.144139,-9.3267,-36.1558,26.8291,0.19486,0.16508,0.188865,0.204116,
cheetah,45.5,transverse,8,5.2388,0.115138,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,20,54.9881,16.5317,38.4564,0.340573,2.72459,8,8,7,0.196376,0.144198,-9.33055,-36.1367,26.8061,0.194837,0.164963,0.188879,0.204099,
cheetah,45.5,transverse,8,6.032,0.132571,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,18,54.9999,16.5225,38.4774,0.340696,2.72557,8,8,7,0.196282,0.144414,-9.58753,-35.9304,26.3429,0.194618,0.164757,0.188841,0.204015,
cheetah,45.5,transverse,8,6.9452,0.152642,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,19,55.0125,16.5033,38.5092,0.340995,2.72796,8,8,7,0.196347,0.144649,-10.1476,-35.8462,25.6986,0.194458,0.164811,0.188646,0.203846,
cheetah,45.5,transverse,8,7.9967,0.175752,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,14,55.0295,16.5059,38.5236,0.34105,2.7284,8,8,7,0.196314,0.144736,-10.1803,-35.7964,25.6162,0.194457,0.16468,0.188573,0.203836,
cheetah,45.5,transverse,8,9.2073,0.202358,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,22,55.0448,16.4861,38.5587,0.341346,2.73077,8,8,7,0.196455,0.144891,-10.5658,-35.7576,25.1917,0.194332,0.164744,0.188427,0.203805,
cheetah,45.5,transverse,8,10.6013,0.232996,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,22,55.0607,16.4887,38.572,0.341386,2.73109,8,8,7,0.196472,0.144914,-10.7182,-35.705,24.9868,0.194322,0.164663,0.188535,0.203748,
cheetah,45.5,transverse,8,12.2063,0.26827,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,15,55.0762,16.4589,38.6173,0.341896,2.73517,8,8,7,0.196669,0.145227,-11.4596,-35.655,24.1954,0.194258,0.164481,0.188343,0.203642,
cheetah,45.5,transverse,8,14.0542,0.308884,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,21,55.0922,16.4611,38.6311,0.341647,2.73318,8,8,7,0.196588,0.145059,-11.2317,-35.3288,24.0971,0.194442,0.164515,0.188327,0.20375,
cheetah,45.5,transverse,8,16.182,0.355648,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,16,55.1062,16.441,38.6653,0.341458,2.73166,8,8,7,0.196726,0.144731,-11.5526,-34.4827,22.9301,0.194836,0.16469,0.188383,0.203945,
cheetah,45.5,transverse,8,18.6319,0.409492,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,18,55.1193,16.4269,38.6924,0.341322,2.73058,8,8,7,0.196886,0.144436,-11.5684,-33.9559,22.3875,0.195156,0.164893,0.188422,0.204152,
cheetah,45.5,transverse,8,21.4526,0.471486,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,17,55.1298,16.4094,38.7205,0.340819,2.72655,8,8,7,0.197082,0.143737,-11.3971,-32.7328,21.3357,0.195874,0.165224,0.188666,0.204543,
cheetah,45.5,transverse,8,24.7005,0.542868,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,25,55.1367,16.4028,38.7339,0.340642,2.72514,8,8,7,0.197101,0.143541,-11.3015,-32.1753,20.8739,0.196085,0.165292,0.188725,0.204653,
cheetah,45.5,transverse,8,28.44,0.625055,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,20,55.1401,16.3836,38.7565,0.339788,2.71831,8,8,7,0.19722,0.142568,-10.8876,-30.4779,19.5903,0.197056,0.165763,0.18896,0.205223,
cheetah,45.5,transverse,8,32.7457,0.719686,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,17,55.1378,16.3735,38.7642,0.339423,2.71538,8,8,7,0.197285,0.142138,-10.721,-29.6226,18.9016,0.197462,0.165914,0.189228,0.205403,
cheetah,45.5,transverse,8,37.7032,0.828642,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,15,55.1308,16.3725,38.7583,0.339046,2.71237,8,8,7,0.197274,0.141772,-10.3537,-28.9188,18.5651,0.197836,0.165983,0.18942,0.205577,
cheetah,45.5,transverse,8,43.4113,0.954095,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,27,55.1124,16.3624,38.75,0.337212,2.6977,8,8,7,0.197429,0.139783,-9.13511,-28.2502,19.1151,0.199904,0.166766,0.190094,0.20664,
