species,gait,target_speed_ms,stiffness_Nm_rad,stiffness_normalised,stiffness_norm_requested,stride_period_s,stride_frequency_Hz,stride_length_m,stance_time_F_s,swing_time_F_s,duty_factor_F,stance_time_H_s,swing_time_H_s,duty_factor_H,notes
horse,rotary,8,54.518,0.1,0.1,0.504057,1.9839,4.03245,0.103868,0.400189,0.206064,0.10034,0.403716,0.199065,
horse,rotary,8,520.154,0.954096,1,0.490705,2.03789,3.92564,0.1025,0.388205,0.208884,0.0971389,0.393566,0.197958,
horse,rotary,8,5714.1,10.4811,10,0.50406,1.98389,4.03248,0.100752,0.403308,0.199882,0.102341,0.401719,0.203032,
horse,rotary,8,26941.2,49.4171,50,0.510224,1.95992,4.08179,0.100417,0.409807,0.19681,0.103961,0.406263,0.203756,closest=49.4171 dist=0.5829 from target=50.0000
horse,rotary,8,54518,100,100,0.509381,1.96317,4.07505,0.0999592,0.409422,0.196237,0.103126,0.406255,0.202453,
horse,rotary,10,54.518,0.1,0.1,0.486213,2.05671,4.86213,0.0852197,0.400993,0.175272,0.100547,0.385665,0.206797,
horse,rotary,10,520.154,0.954096,1,0.476737,2.09759,4.76737,0.0858781,0.390859,0.180137,0.0968005,0.379937,0.203048,
horse,rotary,10,5714.1,10.4811,10,0.490741,2.03773,4.90741,0.0864204,0.404321,0.176102,0.0929813,0.39776,0.189471,
horse,rotary,10,26941.2,49.4171,50,0.491599,2.03418,4.91599,0.084325,0.407274,0.171532,0.0939339,0.397665,0.191078,closest=49.4171 dist=0.5829 from target=50.0000
horse,rotary,10,54518,100,100,0.488915,2.04535,4.88915,0.083926,0.404989,0.171658,0.0929087,0.396006,0.19003,
horse,rotary,12,54.518,0.1,0.1,0.468137,2.13613,5.61765,0.0687635,0.399374,0.146887,0.0909663,0.377171,0.194315,
horse,rotary,12,520.154,0.954096,1,0.462953,2.16004,5.55544,0.0689515,0.394002,0.148938,0.0893722,0.373581,0.193048,
horse,rotary,12,5714.1,10.4811,10,0.482821,2.07116,5.79385,0.0734627,0.409358,0.152153,0.0866003,0.39622,0.179363,
horse,rotary,12,26941.2,49.4171,50,0.477639,2.09363,5.73166,0.0705535,0.407085,0.147713,0.0846774,0.392961,0.177283,closest=49.4171 dist=0.5829 from target=50.0000
horse,rotary,12,54518,100,100,0.475432,2.10335,5.70518,0.0702214,0.40521,0.1477,0.0838183,0.391614,0.176299,
horse,rotary,15,54.518,0.1,0.1,0.452895,2.20802,6.79343,0.0546038,0.398291,0.120566,0.0796649,0.37323,0.175902,
horse,rotary,15,520.154,0.954096,1,0.473899,2.11015,7.10848,0.0541812,0.419718,0.114331,0.0802841,0.393615,0.169412,
horse,rotary,15,5714.1,10.4811,10,0.473092,2.11376,7.09637,0.0579426,0.415149,0.122477,0.0740291,0.399062,0.156479,
horse,rotary,15,26941.2,49.4171,50,0.465323,2.14904,6.97985,0.0573654,0.407958,0.123281,0.072823,0.3925,0.1565,closest=49.4171 dist=0.5829 from target=50.0000
horse,rotary,15,54518,100,100,0.460927,2.16954,6.91391,0.0568711,0.404056,0.123384,0.0717076,0.38922,0.155573,
