species,mass_kg,gait_type,target_speed_m/s,stiffness_Nm/rad,stiffness_normalised,return_status,unified_return_status,solver_success,iter_count,cost_total,cost_acceleration,cost_COT,stride_period_s,stride_length_m,achieved_avg_speed_m/s,n_phases,n_stance_phases,total_stance_time_s,flight_time_s,spine_peak_deg,spine_min_deg,spine_ROM_deg,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,notes
horse,545.18,rotary,8,54.518,0.1,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,31,125.93,0.510723,125.419,0.504057,4.03245,8,8,6,0.313454,0.190603,29.4657,-6.79598,36.2617,0.213212,0.198916,0.209733,0.188398,
horse,545.18,rotary,8,62.7718,0.11514,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,6,126.215,0.510687,125.705,0.503452,4.02761,8,8,6,0.313267,0.190184,29.2341,-7.21283,36.4469,0.213581,0.19906,0.209507,0.188128,
horse,545.18,rotary,8,72.2751,0.132571,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,57,125.67,0.512437,125.158,0.503908,4.03126,8,8,6,0.313309,0.190599,29.6677,-7.3945,37.0622,0.213596,0.198986,0.209176,0.18783,
horse,545.18,rotary,8,83.2173,0.152642,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,13,126.398,0.509048,125.889,0.506206,4.04965,8,8,6,0.317511,0.188695,29.4023,-10.8878,40.2901,0.218432,0.201589,0.20723,0.185399,
horse,545.18,rotary,8,95.816,0.175751,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,33,126.729,0.498989,126.23,0.506349,4.05079,8,8,6,0.318628,0.187722,29.0688,-12.3703,41.4391,0.21901,0.203422,0.206833,0.184433,
horse,545.18,rotary,8,110.322,0.202359,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,7,128.635,0.479942,128.155,0.507357,4.05886,8,8,6,0.322169,0.185188,25.829,-13.939,39.7679,0.221536,0.204916,0.206581,0.185737,
horse,545.18,rotary,8,127.024,0.232995,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,7,128.252,0.480175,127.772,0.507316,4.05853,8,8,6,0.322037,0.185279,25.635,-14.1948,39.8298,0.221339,0.204903,0.206516,0.185728,
horse,545.18,rotary,8,146.255,0.26827,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,14,127.66,0.480518,127.18,0.507461,4.05968,8,8,6,0.321968,0.185492,25.7311,-14.296,40.0271,0.221122,0.204924,0.206344,0.185655,
horse,545.18,rotary,8,168.398,0.308884,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,7,133.233,0.474986,132.758,0.503732,4.02985,8,8,6,0.318983,0.184749,25.5519,-16.1486,41.7005,0.219386,0.209142,0.204011,0.186389,
horse,545.18,rotary,8,193.892,0.355648,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,12,132.849,0.473781,132.376,0.503598,4.02878,8,8,6,0.318774,0.184824,25.3595,-16.3377,41.6972,0.219083,0.209098,0.204048,0.186541,
horse,545.18,rotary,8,223.247,0.409492,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,29,123.4,0.504622,122.896,0.497455,3.97964,8,8,6,0.310532,0.186923,31.9185,-8.21732,40.1359,0.212763,0.203189,0.20829,0.187351,
horse,545.18,rotary,8,257.045,0.471487,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,21,122.961,0.500981,122.46,0.496237,3.9699,8,8,6,0.310027,0.18621,32.431,-8.32711,40.7581,0.212732,0.203829,0.208195,0.18737,
horse,545.18,rotary,8,295.961,0.542867,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,33,122.458,0.494878,121.963,0.493661,3.94929,8,8,6,0.308958,0.184703,33.33,-8.31707,41.6471,0.212512,0.205094,0.208245,0.187307,
horse,545.18,rotary,8,340.768,0.625055,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,25,121.86,0.492492,121.368,0.492099,3.93679,8,8,6,0.307987,0.184112,33.5398,-8.63462,42.1744,0.211441,0.20588,0.208542,0.188144,
horse,545.18,rotary,8,392.358,0.719686,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,20,121.278,0.48928,120.789,0.491771,3.93417,8,8,6,0.307578,0.184193,33.8895,-8.80494,42.6944,0.211556,0.2058,0.208093,0.188265,
horse,545.18,rotary,8,451.76,0.828643,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,20,120.67,0.485185,120.184,0.491344,3.93076,8,8,6,0.307388,0.183957,34.3001,-8.92886,43.229,0.211404,0.206275,0.207925,0.188259,
horse,545.18,rotary,8,520.154,0.954096,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,26,120.016,0.482169,119.534,0.490705,3.92564,8,8,6,0.306875,0.18383,34.5763,-9.13268,43.7089,0.211287,0.206481,0.207609,0.188307,
horse,545.18,rotary,8,598.903,1.09854,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,28,124.737,0.553759,124.183,0.510137,4.0811,8,8,6,0.315565,0.194572,35.2912,-15.4876,50.7788,0.225118,0.202851,0.19062,0.189461,
horse,545.18,rotary,8,689.574,1.26486,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,17,123.572,0.542981,123.029,0.509111,4.07288,8,8,6,0.314762,0.194349,34.5548,-15.716,50.2708,0.223734,0.203307,0.191173,0.189347,
horse,545.18,rotary,8,793.972,1.45635,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,53,118.534,0.486254,118.048,0.495752,3.96601,8,8,6,0.307691,0.188061,34.5224,-14.6182,49.1407,0.215884,0.207444,0.197326,0.187268,
horse,545.18,rotary,8,914.176,1.67683,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,20,117.309,0.471484,116.837,0.491966,3.93573,8,8,6,0.306398,0.185568,34.9834,-13.915,48.8984,0.21453,0.207922,0.200351,0.187126,
horse,545.18,rotary,8,1052.58,1.9307,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,20,116.468,0.466524,116.001,0.491928,3.93542,8,8,6,0.306053,0.185875,34.3228,-14.1155,48.4383,0.21366,0.208135,0.200355,0.187333,
horse,545.18,rotary,8,1211.93,2.223,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,18,115.888,0.46109,115.427,0.491655,3.93324,8,8,6,0.305396,0.186258,33.1006,-14.2735,47.3741,0.212554,0.207987,0.20062,0.187678,
horse,545.18,rotary,8,1395.41,2.55955,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,48,114.756,0.452751,114.303,0.491484,3.93187,8,8,6,0.305258,0.186226,32.8862,-15.2805,48.1667,0.211838,0.208506,0.20075,0.187803,
horse,545.18,rotary,8,1606.67,2.94705,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,26,114.071,0.447086,113.624,0.491526,3.93221,8,8,6,0.304711,0.186815,31.3996,-15.6142,47.0138,0.210642,0.208284,0.201003,0.188176,
horse,545.18,rotary,8,1849.92,3.39322,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,7,114.345,0.43898,113.906,0.491126,3.92901,8,8,6,0.304046,0.18708,28.9543,-15.3242,44.2785,0.209335,0.207751,0.201641,0.188988,
horse,545.18,rotary,8,2129.99,3.90694,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,25,111.715,0.433159,111.282,0.497712,3.9817,8,8,6,0.310913,0.1868,28.7297,-22.4435,51.1733,0.211879,0.208643,0.204162,0.187959,
horse,545.18,rotary,8,2452.46,4.49843,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,38,111.022,0.425351,110.596,0.499225,3.9938,8,8,6,0.310853,0.188372,26.5835,-22.4277,49.0112,0.210503,0.207626,0.204542,0.1884,
horse,545.18,rotary,8,2823.75,5.17947,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,13,110.651,0.415926,110.235,0.500797,4.00638,8,8,6,0.310517,0.19028,24.5671,-22.012,46.579,0.208031,0.206302,0.205,0.18958,
horse,545.18,rotary,8,3251.25,5.96362,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,111.572,0.402492,111.17,0.50041,4.00328,8,8,6,0.309969,0.190441,22.5979,-19.7887,42.3867,0.206922,0.205629,0.205582,0.190618,
horse,545.18,rotary,8,3743.47,6.86649,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,22,110.32,0.39414,109.925,0.502572,4.02057,8,8,6,0.309262,0.19331,20.7914,-19.8156,40.607,0.204057,0.204792,0.20651,0.19077,
horse,545.18,rotary,8,4310.22,7.90604,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,25,110.521,0.375029,110.146,0.50255,4.0204,8,8,6,0.308188,0.194361,19.0578,-18.3568,37.4146,0.201044,0.204816,0.207389,0.192495,
horse,545.18,rotary,8,4962.76,9.10298,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,11,111.113,0.367328,110.745,0.503501,4.028,8,8,6,0.308303,0.195198,17.1771,-16.7254,33.9026,0.199811,0.203904,0.20798,0.193273,
horse,545.18,rotary,8,5714.1,10.4811,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,17,111.511,0.356418,111.154,0.50406,4.03248,8,8,6,0.310111,0.193949,15.3536,-14.7084,30.062,0.196978,0.202786,0.210836,0.195229,
horse,545.18,rotary,8,6579.19,12.0679,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,23,111.574,0.334183,111.24,0.506193,4.04954,8,8,6,0.317978,0.188215,14.1114,-12.9742,27.0856,0.196634,0.201994,0.214626,0.191155,
horse,545.18,rotary,8,7575.25,13.895,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,23,111.95,0.328691,111.622,0.50725,4.058,8,8,6,0.318459,0.188791,12.61,-11.7421,24.3522,0.19609,0.201039,0.214632,0.191911,
horse,545.18,rotary,8,8722.11,15.9986,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,14,112.357,0.32399,112.033,0.507823,4.06259,8,8,6,0.318727,0.189096,11.2637,-10.5704,21.8341,0.19611,0.200318,0.214683,0.192535,
horse,545.18,rotary,8,10042.6,18.4207,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,27,112.55,0.315482,112.235,0.509333,4.07466,8,8,6,0.319511,0.189823,10.1864,-9.63126,19.8177,0.194394,0.199269,0.213944,0.194523,
horse,545.18,rotary,8,11563,21.2095,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,16,112.765,0.311827,112.453,0.509799,4.0784,8,8,6,0.319699,0.1901,9.09605,-8.72949,17.8255,0.194218,0.198724,0.213597,0.195218,
horse,545.18,rotary,8,13313.6,24.4205,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,15,113.05,0.309636,112.74,0.509597,4.07678,8,8,6,0.31954,0.190057,8.16141,-7.81035,15.9718,0.194707,0.198588,0.213417,0.195536,
horse,545.18,rotary,8,15329.2,28.1177,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,22,113.241,0.308121,112.933,0.510013,4.08011,8,8,6,0.319514,0.190499,7.30463,-6.95691,14.2615,0.195033,0.198293,0.213035,0.1957,
horse,545.18,rotary,8,17650,32.3746,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,9,113.553,0.306762,113.246,0.509524,4.0762,8,8,6,0.319294,0.190231,6.52401,-6.19219,12.7162,0.19565,0.198367,0.212872,0.195861,
horse,545.18,rotary,8,20322.1,37.2759,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,13,113.359,0.302767,113.056,0.50991,4.07928,8,8,6,0.31959,0.190321,5.71907,-5.63029,11.3494,0.194233,0.198008,0.212495,0.195846,
