species,gait,target_speed_ms,stiffness_Nm_rad,stiffness_normalised,stiffness_norm_requested,stride_period_s,stride_frequency_Hz,stride_length_m,stance_time_FR_s,swing_time_FR_s,duty_factor_FR,stance_time_HL_s,swing_time_HL_s,duty_factor_HL,notes
horse,rotary,8,54.518,0.1,0.1,0.504057,1.9839,4.03245,0.100265,0.403792,0.198916,0.105717,0.398339,0.209733,
horse,rotary,8,520.154,0.954096,1,0.490705,2.03789,3.92564,0.101321,0.389384,0.206481,0.101875,0.38883,0.207609,
horse,rotary,8,5714.1,10.4811,10,0.50406,1.98389,4.03248,0.102216,0.401844,0.202786,0.106274,0.397786,0.210836,
horse,rotary,8,26941.2,49.4171,50,0.510224,1.95992,4.08179,0.101032,0.409192,0.198015,0.108007,0.402217,0.211686,closest=49.4171 dist=0.5829 from target=50.0000
horse,rotary,8,54518,100,100,0.509381,1.96317,4.07505,0.100869,0.408512,0.198022,0.106668,0.402713,0.209408,
horse,rotary,10,54.518,0.1,0.1,0.486213,2.05671,4.86213,0.0851948,0.401018,0.175221,0.103471,0.382742,0.21281,
horse,rotary,10,520.154,0.954096,1,0.476737,2.09759,4.76737,0.086684,0.390053,0.181828,0.099127,0.37761,0.207928,
horse,rotary,10,5714.1,10.4811,10,0.490741,2.03773,4.90741,0.0874701,0.403271,0.178241,0.0938081,0.396933,0.191156,
horse,rotary,10,26941.2,49.4171,50,0.491599,2.03418,4.91599,0.0851403,0.406458,0.173191,0.0945399,0.397059,0.192311,closest=49.4171 dist=0.5829 from target=50.0000
horse,rotary,10,54518,100,100,0.488915,2.04535,4.88915,0.0847359,0.404179,0.173314,0.093157,0.395758,0.190538,
horse,rotary,12,54.518,0.1,0.1,0.468137,2.13613,5.61765,0.0713465,0.396791,0.152405,0.091715,0.376422,0.195915,
horse,rotary,12,520.154,0.954096,1,0.462953,2.16004,5.55544,0.0718776,0.391076,0.155259,0.0894831,0.37347,0.193287,
horse,rotary,12,5714.1,10.4811,10,0.482821,2.07116,5.79385,0.0760765,0.406744,0.157567,0.0866941,0.396127,0.179557,
horse,rotary,12,26941.2,49.4171,50,0.477639,2.09363,5.73166,0.073747,0.403892,0.154399,0.0846774,0.392961,0.177283,closest=49.4171 dist=0.5829 from target=50.0000
horse,rotary,12,54518,100,100,0.475432,2.10335,5.70518,0.0732222,0.40221,0.154012,0.0838028,0.391629,0.176267,
horse,rotary,15,54.518,0.1,0.1,0.452895,2.20802,6.79343,0.0552396,0.397656,0.12197,0.079665,0.37323,0.175902,
horse,rotary,15,520.154,0.954096,1,0.473899,2.11015,7.10848,0.0552468,0.418652,0.116579,0.0802841,0.393615,0.169412,
horse,rotary,15,5714.1,10.4811,10,0.473092,2.11376,7.09637,0.0618931,0.411198,0.130827,0.0740291,0.399062,0.156479,
horse,rotary,15,26941.2,49.4171,50,0.465323,2.14904,6.97985,0.0604798,0.404844,0.129974,0.0732311,0.392092,0.157377,closest=49.4171 dist=0.5829 from target=50.0000
horse,rotary,15,54518,100,100,0.460927,2.16954,6.91391,0.059812,0.401115,0.129765,0.0731003,0.387827,0.158594,
