species,gait,target_speed_ms,stiffness_Nm_rad,stiffness_normalised,stiffness_norm_requested,stride_period_s,stride_frequency_Hz,stride_length_m,stance_time_FR_s,swing_time_FR_s,duty_factor_FR,notes
horse,transverse,8,54.518,0.1,0.1,0.532808,1.87685,4.26247,0.0917947,0.441014,0.172285,
horse,transverse,8,520.154,0.954096,1,0.516533,1.93598,4.13226,0.102637,0.413896,0.198704,
horse,transverse,8,5714.1,10.4811,10,0.545016,1.83481,4.36013,0.113509,0.431507,0.208267,
horse,transverse,8,26941.2,49.4171,50,0.538915,1.85558,4.31132,0.111259,0.427656,0.20645,closest=49.4171 dist=0.5829 from target=50.0000
horse,transverse,8,54518,100,100,0.537962,1.85887,4.3037,0.111214,0.426748,0.206732,
horse,transverse,10,54.518,0.1,0.1,0.514463,1.94378,5.14463,0.0779785,0.436484,0.151573,
horse,transverse,10,520.154,0.954096,1,0.487752,2.05022,4.87752,0.0834786,0.404273,0.17115,
horse,transverse,10,5714.1,10.4811,10,0.524587,1.90626,5.24587,0.0955216,0.429065,0.182089,
horse,transverse,10,26941.2,49.4171,50,0.520017,1.92301,5.20017,0.0908877,0.42913,0.174778,closest=49.4171 dist=0.5829 from target=50.0000
horse,transverse,10,54518,100,100,0.516805,1.93496,5.16805,0.0903801,0.426425,0.174882,
horse,transverse,12,54.518,0.1,0.1,0.479887,2.08382,5.75864,0.0713913,0.408495,0.148767,
horse,transverse,12,520.154,0.954096,1,0.475805,2.1017,5.70965,0.0720354,0.403769,0.151397,
horse,transverse,12,5714.1,10.4811,10,0.533708,1.87368,6.40449,0.0788712,0.454837,0.14778,
horse,transverse,12,26941.2,49.4171,50,0.512813,1.95003,6.15376,0.0756662,0.437147,0.147551,closest=49.4171 dist=0.5829 from target=50.0000
horse,transverse,12,54518,100,100,0.507196,1.97163,6.08635,0.075463,0.431733,0.148785,
horse,transverse,15,54.518,0.1,0.1,0.474294,2.1084,7.11441,0.0595599,0.414734,0.125576,
horse,transverse,15,520.154,0.954096,1,0.477001,2.09643,7.15502,0.0565685,0.420433,0.118592,
horse,transverse,15,5714.1,10.4811,10,0.522617,1.91345,7.83926,0.0624117,0.460206,0.119421,
horse,transverse,15,26941.2,49.4171,50,0.507603,1.97005,7.61404,0.0648126,0.44279,0.127684,closest=49.4171 dist=0.5829 from target=50.0000
horse,transverse,15,54518,100,100,0.506268,1.97524,7.59401,0.0636822,0.442585,0.125788,
