species,mass_kg,gait_type,target_speed_m/s,stiffness_Nm/rad,stiffness_normalised,return_status,unified_return_status,solver_success,iter_count,cost_total,cost_acceleration,cost_COT,stride_period_s,stride_length_m,achieved_avg_speed_m/s,n_phases,n_stance_phases,total_stance_time_s,flight_time_s,spine_peak_deg,spine_min_deg,spine_ROM_deg,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,notes
horse,545.18,transverse,8,54.518,0.1,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,33,138.373,0.786287,137.587,0.532808,4.26247,8,8,7,0.306005,0.226804,44.1664,-23.7964,67.9627,0.170208,0.172285,0.226437,0.191328,
horse,545.18,transverse,8,62.7718,0.11514,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,39,133.035,0.83519,132.2,0.524537,4.1963,8,8,7,0.308026,0.216511,44.1222,-29.4618,73.584,0.17508,0.179478,0.224883,0.194792,
horse,545.18,transverse,8,72.2751,0.132571,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,7,133.574,0.835527,132.738,0.524153,4.19322,8,8,7,0.307904,0.216249,44.3016,-29.1619,73.4635,0.175074,0.179563,0.225,0.194845,
horse,545.18,transverse,8,83.2173,0.152642,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,7,134.158,0.836076,133.322,0.523741,4.18993,8,8,7,0.30777,0.215971,44.5612,-28.8685,73.4297,0.175068,0.179672,0.225107,0.194902,
horse,545.18,transverse,8,95.816,0.175751,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,7,134.791,0.836894,133.955,0.523295,4.18636,8,8,7,0.307621,0.215674,44.8059,-28.591,73.3969,0.175064,0.179803,0.225209,0.194963,
horse,545.18,transverse,8,110.322,0.202359,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,7,135.48,0.838265,134.642,0.522801,4.18241,8,8,7,0.307449,0.215352,44.9944,-28.3605,73.3549,0.17507,0.179957,0.225298,0.19503,
horse,545.18,transverse,8,127.024,0.232995,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,6,136.289,0.84071,135.448,0.522196,4.17757,8,8,7,0.307253,0.214943,44.8089,-28.2962,73.105,0.175125,0.180171,0.225356,0.195096,
horse,545.18,transverse,8,146.255,0.26827,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,6,137.148,0.842117,136.306,0.521642,4.17314,8,8,7,0.307087,0.214555,44.859,-28.0484,72.9075,0.17513,0.180379,0.225459,0.195163,
horse,545.18,transverse,8,168.398,0.308884,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,75,133.047,0.894933,132.152,0.511581,4.09265,8,8,7,0.310881,0.200701,44.9995,-26.5053,71.5048,0.184127,0.189485,0.2291,0.202083,
horse,545.18,transverse,8,193.892,0.355648,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,13,133.822,0.897339,132.924,0.511163,4.08931,8,8,7,0.310751,0.200413,44.9971,-26.3936,71.3906,0.184371,0.189751,0.229059,0.202358,
horse,545.18,transverse,8,223.247,0.409492,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,13,134.685,0.899352,133.785,0.510788,4.08631,8,8,7,0.310681,0.200107,44.9911,-26.273,71.2641,0.184666,0.190067,0.228959,0.202657,
horse,545.18,transverse,8,257.045,0.471487,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,23,135.231,0.907049,134.324,0.51,4.08,8,8,7,0.310847,0.199153,44.9998,-25.5555,70.5553,0.185901,0.191194,0.229448,0.203802,
horse,545.18,transverse,8,295.961,0.542867,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,13,136.362,0.905402,135.456,0.50975,4.078,8,8,7,0.310985,0.198765,44.7257,-25.221,69.9467,0.186183,0.191684,0.229301,0.204056,
