species,mass_kg,gait_type,target_speed_m/s,stiffness_Nm/rad,stiffness_normalised,return_status,unified_return_status,solver_success,iter_count,cost_total,cost_acceleration,cost_COT,stride_period_s,stride_length_m,achieved_avg_speed_m/s,n_phases,n_stance_phases,total_stance_time_s,flight_time_s,spine_peak_deg,spine_min_deg,spine_ROM_deg,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,notes
cheetah,45.5,rotary,8,4.55,0.1,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,37,48.812,12.347,36.465,0.348087,2.78469,8,8,6,0.179891,0.168195,14.6425,-37.1075,51.7499,0.134195,0.145374,0.17821,0.18083,NaN
cheetah,45.5,rotary,8,5.2388,0.115138,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,7,48.7658,12.3385,36.4273,0.348123,2.78499,8,8,6,0.179893,0.168231,14.5183,-37.28,51.7983,0.134182,0.145263,0.178232,0.180822,NaN
cheetah,45.5,rotary,8,6.032,0.132571,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,32,47.3336,11.8377,35.496,0.348905,2.79124,8,8,6,0.18009,0.168815,9.32796,-42.0833,51.4113,0.133346,0.143644,0.180071,0.176529,NaN
cheetah,45.5,rotary,8,6.9452,0.152642,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,13,47.3064,11.8294,35.477,0.349028,2.79222,8,8,6,0.18017,0.168857,9.10036,-42.2035,51.3038,0.133205,0.14317,0.180247,0.176597,NaN
cheetah,45.5,rotary,8,7.9967,0.175752,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,6,47.6205,11.8355,35.785,0.347834,2.78267,8,8,6,0.179731,0.168103,9.36024,-42.0292,51.3895,0.133327,0.143605,0.180467,0.176844,NaN
cheetah,45.5,rotary,8,9.2073,0.202358,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,15,47.254,11.8252,35.4288,0.34897,2.79176,8,8,6,0.180287,0.168684,9.06542,-42.3605,51.4259,0.132641,0.142953,0.180646,0.177236,NaN
cheetah,45.5,rotary,8,10.6013,0.232996,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,7,47.4203,11.8447,35.5756,0.348284,2.78627,8,8,6,0.179815,0.168469,9.12825,-42.3062,51.4345,0.132242,0.142512,0.180405,0.178382,NaN
cheetah,45.5,rotary,8,12.2063,0.26827,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,5,47.4407,11.8491,35.5916,0.347987,2.7839,8,8,6,0.179756,0.168231,9.1147,-42.3089,51.4236,0.13235,0.142754,0.18044,0.178413,NaN
cheetah,45.5,rotary,8,14.0542,0.308884,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,16,47.1617,11.8293,35.3325,0.349208,2.79366,8,8,6,0.179928,0.16928,8.91892,-42.7167,51.6356,0.132379,0.142249,0.180308,0.178134,NaN
cheetah,45.5,rotary,8,16.182,0.355648,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,24,47.1024,11.8157,35.2866,0.349455,2.79564,8,8,6,0.180111,0.169344,8.71018,-43.0164,51.7266,0.13238,0.14199,0.18043,0.178138,NaN
