species,gait,speed_ms,stiffness_Nm_rad,stiffness_normalised,stiffness_norm_requested,time_s,E_spine_J,E_front_leg_J,E_hind_leg_J
cheetah,rotary,12,4.55,0.1,0.1,0,0.452201,0.00836464,3.87948
cheetah,rotary,12,4.55,0.1,0.1,0.0146246,0.755903,5.69063,4.99848
cheetah,rotary,12,4.55,0.1,0.1,0.0292493,1.04437,7.12311,5.21052
cheetah,rotary,12,4.55,0.1,0.1,0.0438739,1.27301,3.30649,3.8497
cheetah,rotary,12,4.55,0.1,0.1,0.0584985,1.40333,0.719636,1.84632
cheetah,rotary,12,4.55,0.1,0.1,0.0731232,1.40332,0.0981739,0.441078
cheetah,rotary,12,4.55,0.1,0.1,0.0877478,1.24077,0.0571898,0.0117701
cheetah,rotary,12,4.55,0.1,0.1,0.102372,0.957895,0.242082,0.00511854
cheetah,rotary,12,4.55,0.1,0.1,0.116997,0.654785,0.783226,0.164787
cheetah,rotary,12,4.55,0.1,0.1,0.116997,0.654785,0.783226,0.164787
cheetah,rotary,12,4.55,0.1,0.1,0.119497,0.605938,0.895269,0.325598
cheetah,rotary,12,4.55,0.1,0.1,0.121997,0.555857,1.00165,0.589976
cheetah,rotary,12,4.55,0.1,0.1,0.124497,0.504929,1.0996,0.99978
cheetah,rotary,12,4.55,0.1,0.1,0.126997,0.453719,1.18577,1.59935
cheetah,rotary,12,4.55,0.1,0.1,0.129497,0.402774,1.25752,2.43681
cheetah,rotary,12,4.55,0.1,0.1,0.131997,0.352727,1.31278,3.56006
cheetah,rotary,12,4.55,0.1,0.1,0.134497,0.304179,1.35027,5.01472
cheetah,rotary,12,4.55,0.1,0.1,0.136997,0.257766,1.36916,6.82706
cheetah,rotary,12,4.55,0.1,0.1,0.136997,0.257766,1.36916,6.82706
cheetah,rotary,12,4.55,0.1,0.1,0.139851,0.208602,1.37921,2.44285
cheetah,rotary,12,4.55,0.1,0.1,0.142705,0.163291,1.37322,0.356877
cheetah,rotary,12,4.55,0.1,0.1,0.145559,0.122678,1.35444,0.0752172
cheetah,rotary,12,4.55,0.1,0.1,0.148413,0.0874154,1.32473,1.08379
cheetah,rotary,12,4.55,0.1,0.1,0.151266,0.0579561,1.28641,2.86235
cheetah,rotary,12,4.55,0.1,0.1,0.15412,0.0345898,1.24173,4.91084
cheetah,rotary,12,4.55,0.1,0.1,0.156974,0.0174121,1.19281,6.77563
cheetah,rotary,12,4.55,0.1,0.1,0.159828,0.00625673,1.14012,8.11773
cheetah,rotary,12,4.55,0.1,0.1,0.159828,0.00625673,1.14012,8.11773
cheetah,rotary,12,4.55,0.1,0.1,0.162451,0.00101772,1.08947,8.74681
cheetah,rotary,12,4.55,0.1,0.1,0.165073,0.000180141,1.03827,8.7468
cheetah,rotary,12,4.55,0.1,0.1,0.167696,0.00319751,0.986607,8.10764
cheetah,rotary,12,4.55,0.1,0.1,0.170319,0.00949461,0.934405,6.90146
cheetah,rotary,12,4.55,0.1,0.1,0.172942,0.0185,0.881624,5.27783
cheetah,rotary,12,4.55,0.1,0.1,0.175565,0.0296576,0.828333,3.46412
cheetah,rotary,12,4.55,0.1,0.1,0.178188,0.0424288,0.774255,1.74664
cheetah,rotary,12,4.55,0.1,0.1,0.180811,0.0563496,0.720427,0.471029
cheetah,rotary,12,4.55,0.1,0.1,0.180811,0.0563496,0.720427,0.471029
cheetah,rotary,12,4.55,0.1,0.1,0.194395,0.142505,0.429214,4.93122
cheetah,rotary,12,4.55,0.1,0.1,0.20798,0.240395,0.18204,12.2305
cheetah,rotary,12,4.55,0.1,0.1,0.221565,0.327406,0.045783,9.29167
cheetah,rotary,12,4.55,0.1,0.1,0.235149,0.373132,0.000345635,3.30336
cheetah,rotary,12,4.55,0.1,0.1,0.248734,0.361307,0.0164786,0.457608
cheetah,rotary,12,4.55,0.1,0.1,0.262318,0.292608,0.0166321,1.45046e-07
cheetah,rotary,12,4.55,0.1,0.1,0.275903,0.187631,0.0183611,0.0137548
cheetah,rotary,12,4.55,0.1,0.1,0.289488,0.0827982,0.525536,0.0167601
cheetah,rotary,12,4.55,0.1,0.1,0.289488,0.0827982,0.525536,0.0167601
cheetah,rotary,12,4.55,0.1,0.1,0.291988,0.0665925,0.742878,0.0399479
cheetah,rotary,12,4.55,0.1,0.1,0.294488,0.0514128,1.00118,0.0743905
cheetah,rotary,12,4.55,0.1,0.1,0.296988,0.0375739,1.29984,0.120727
cheetah,rotary,12,4.55,0.1,0.1,0.299488,0.0254189,1.63229,0.179448
cheetah,rotary,12,4.55,0.1,0.1,0.301988,0.0152825,1.98898,0.250825
cheetah,rotary,12,4.55,0.1,0.1,0.304488,0.00749039,2.35562,0.334886
cheetah,rotary,12,4.55,0.1,0.1,0.306988,0.00233769,2.71278,0.431418
cheetah,rotary,12,4.55,0.1,0.1,0.309488,8.50215e-05,3.037,0.539913
cheetah,rotary,12,4.55,0.1,0.1,0.309488,8.50215e-05,3.037,0.539913
cheetah,rotary,12,4.55,0.1,0.1,0.311988,0.000871201,1.01114,0.654243
cheetah,rotary,12,4.55,0.1,0.1,0.314488,0.00488249,0.113464,0.784525
cheetah,rotary,12,4.55,0.1,0.1,0.316988,0.0124749,0.0661863,0.931014
cheetah,rotary,12,4.55,0.1,0.1,0.319488,0.0239384,0.595546,1.09462
cheetah,rotary,12,4.55,0.1,0.1,0.321988,0.0394896,1.44366,1.27586
cheetah,rotary,12,4.55,0.1,0.1,0.324488,0.0592573,2.37917,1.47464
cheetah,rotary,12,4.55,0.1,0.1,0.326988,0.0832765,3.20665,1.69083
cheetah,rotary,12,4.55,0.1,0.1,0.329488,0.11149,3.78109,1.92345
cheetah,rotary,12,4.55,0.1,0.1,0.329488,0.11149,3.78109,1.92345
cheetah,rotary,12,4.55,0.1,0.1,0.331988,0.143737,4.02203,2.17045
cheetah,rotary,12,4.55,0.1,0.1,0.334488,0.179706,3.90017,2.42527
cheetah,rotary,12,4.55,0.1,0.1,0.336988,0.219045,3.42879,2.68165
cheetah,rotary,12,4.55,0.1,0.1,0.339488,0.26141,2.67935,2.93703
cheetah,rotary,12,4.55,0.1,0.1,0.341988,0.306374,1.77382,3.18768
cheetah,rotary,12,4.55,0.1,0.1,0.344488,0.353485,0.882817,3.43039
cheetah,rotary,12,4.55,0.1,0.1,0.346988,0.402225,0.214874,3.6622
cheetah,rotary,12,4.55,0.1,0.1,0.349488,0.452201,0.00836464,3.87948
cheetah,rotary,12,4550,100,100,0,1.85117,0.109383,2.5164
cheetah,rotary,12,4550,100,100,0.0122827,5.23423,5.99416,3.49194
cheetah,rotary,12,4550,100,100,0.0245654,7.09342,8.08992,3.70908
cheetah,rotary,12,4550,100,100,0.0368481,5.59786,4.42704,2.67706
cheetah,rotary,12,4550,100,100,0.0491308,3.2761,1.18326,1.15745
cheetah,rotary,12,4550,100,100,0.0614135,2.45424,0.123747,0.189774
cheetah,rotary,12,4550,100,100,0.0736962,3.4383,0.0024579,0.00308075
cheetah,rotary,12,4550,100,100,0.0859789,7.75392,0.0293245,0.0507873
cheetah,rotary,12,4550,100,100,0.0982615,16.3789,0.290897,0.00288281
cheetah,rotary,12,4550,100,100,0.0982615,16.3789,0.290897,0.00288281
cheetah,rotary,12,4550,100,100,0.100762,18.3139,0.387479,0.0305111
cheetah,rotary,12,4550,100,100,0.103262,19.8332,0.48963,0.104572
cheetah,rotary,12,4550,100,100,0.105762,20.8492,0.592861,0.250542
cheetah,rotary,12,4550,100,100,0.108262,21.3079,0.691494,0.497057
cheetah,rotary,12,4550,100,100,0.110762,21.1842,0.780806,0.875452
cheetah,rotary,12,4550,100,100,0.113262,20.4994,0.857717,1.41731
cheetah,rotary,12,4550,100,100,0.115762,19.3006,0.920696,2.15334
cheetah,rotary,12,4550,100,100,0.118262,17.692,0.970479,3.10601
cheetah,rotary,12,4550,100,100,0.118262,17.692,0.970479,3.10601
cheetah,rotary,12,4550,100,100,0.120762,15.5299,1.01221,0.754419
cheetah,rotary,12,4550,100,100,0.123262,13.1485,1.05459,0.00247326
cheetah,rotary,12,4550,100,100,0.125762,10.6768,1.09991,0.470793
cheetah,rotary,12,4550,100,100,0.128262,8.24017,1.14568,1.77131
cheetah,rotary,12,4550,100,100,0.130762,5.9605,1.18877,3.5216
cheetah,rotary,12,4550,100,100,0.133262,3.95174,1.22686,5.36419
cheetah,rotary,12,4550,100,100,0.135762,2.30765,1.25768,6.98178
cheetah,rotary,12,4550,100,100,0.138262,1.09354,1.28079,8.14474
cheetah,rotary,12,4550,100,100,0.138262,1.09354,1.28079,8.14474
cheetah,rotary,12,4550,100,100,0.140762,0.345141,1.29634,8.74681
cheetah,rotary,12,4550,100,100,0.143262,0.0267827,1.30235,8.74681
cheetah,rotary,12,4550,100,100,0.145762,0.0488622,1.29734,8.14115
cheetah,rotary,12,4550,100,100,0.148262,0.322636,1.28078,7.00071
cheetah,rotary,12,4550,100,100,0.150762,0.767519,1.25216,5.46226
cheetah,rotary,12,4550,100,100,0.153262,1.30904,1.21158,3.72713
cheetah,rotary,12,4550,100,100,0.155762,1.87768,1.15913,2.0441
cheetah,rotary,12,4550,100,100,0.158262,2.41,1.0977,0.708423
cheetah,rotary,12,4550,100,100,0.158262,2.41,1.0977,0.708423
cheetah,rotary,12,4550,100,100,0.167613,4.93697,0.820565,1.72293
cheetah,rotary,12,4550,100,100,0.176965,8.59057,0.505027,7.75647
cheetah,rotary,12,4550,100,100,0.186317,11.1144,0.231587,10.8371
cheetah,rotary,12,4550,100,100,0.195668,10.9236,0.0721142,9.1655
cheetah,rotary,12,4550,100,100,0.20502,9.25416,0.018288,5.37681
cheetah,rotary,12,4550,100,100,0.214372,7.48046,0.0216275,2.22523
cheetah,rotary,12,4550,100,100,0.223723,7.04042,0.125855,0.657228
cheetah,rotary,12,4550,100,100,0.233075,8.66443,0.566068,0.154911
cheetah,rotary,12,4550,100,100,0.233075,8.66443,0.566068,0.154911
cheetah,rotary,12,4550,100,100,0.235575,9.41863,0.776081,0.110658
cheetah,rotary,12,4550,100,100,0.238075,9.96666,1.02588,0.0817987
cheetah,rotary,12,4550,100,100,0.240575,10.2994,1.31326,0.0646477
cheetah,rotary,12,4550,100,100,0.243075,10.4129,1.62892,0.0561286
cheetah,rotary,12,4550,100,100,0.245575,10.314,1.95956,0.0545342
cheetah,rotary,12,4550,100,100,0.248075,10.0234,2.28703,0.0592492
cheetah,rotary,12,4550,100,100,0.250575,9.56671,2.5875,0.0706941
cheetah,rotary,12,4550,100,100,0.253075,8.97555,2.83854,0.089698
cheetah,rotary,12,4550,100,100,0.253075,8.97555,2.83854,0.089698
cheetah,rotary,12,4550,100,100,0.255575,8.52108,0.876785,0.114913
cheetah,rotary,12,4550,100,100,0.258075,7.78419,0.0677661,0.1519
cheetah,rotary,12,4550,100,100,0.260575,6.81867,0.113302,0.203551
cheetah,rotary,12,4550,100,100,0.263075,5.70007,0.721302,0.272619
cheetah,rotary,12,4550,100,100,0.265575,4.50899,1.6197,0.361826
cheetah,rotary,12,4550,100,100,0.268075,3.32918,2.56825,0.473348
cheetah,rotary,12,4550,100,100,0.270575,2.23882,3.36895,0.608884
cheetah,rotary,12,4550,100,100,0.273075,1.31376,3.87897,0.769143
cheetah,rotary,12,4550,100,100,0.273075,1.31376,3.87897,0.769143
cheetah,rotary,12,4550,100,100,0.275575,0.621136,4.02203,0.952254
cheetah,rotary,12,4550,100,100,0.278075,0.188855,3.78181,1.15346
cheetah,rotary,12,4550,100,100,0.280575,0.00824878,3.19475,1.36852
cheetah,rotary,12,4550,100,100,0.283075,0.0577897,2.36003,1.59399
cheetah,rotary,12,4550,100,100,0.285575,0.30794,1.42627,1.82562
cheetah,rotary,12,4550,100,100,0.288075,0.720976,0.586521,2.05919
cheetah,rotary,12,4550,100,100,0.290575,1.2515,0.0653973,2.29068
cheetah,rotary,12,4550,100,100,0.293075,1.85117,0.109383,2.5164
horse,transverse,12,54.518,0.1,0.1,0,0.0415859,0.297753,0.637684
horse,transverse,12,54.518,0.1,0.1,0.0288246,2.20712,27.9152,0.410481
horse,transverse,12,54.518,0.1,0.1,0.0576491,6.55203,3.4216,0.0508135
horse,transverse,12,54.518,0.1,0.1,0.0864737,11.2087,1.93911,0.0160682
horse,transverse,12,54.518,0.1,0.1,0.115298,14.5748,0.403525,0.130553
horse,transverse,12,54.518,0.1,0.1,0.144123,16.2478,0.0419944,0.0765706
horse,transverse,12,54.518,0.1,0.1,0.172947,16.8147,0.0600227,0.0005478
horse,transverse,12,54.518,0.1,0.1,0.201772,16.8147,0.757503,0.0348716
horse,transverse,12,54.518,0.1,0.1,0.230597,15.5812,1.5383,0.219076
horse,transverse,12,54.518,0.1,0.1,0.230597,15.5812,1.5383,0.219076
horse,transverse,12,54.518,0.1,0.1,0.240044,15.0109,1.28463,73.8161
horse,transverse,12,54.518,0.1,0.1,0.249492,14.2935,0.571706,256.223
horse,transverse,12,54.518,0.1,0.1,0.25894,13.4471,0.0722717,460.92
horse,transverse,12,54.518,0.1,0.1,0.268387,12.3844,0.0353589,621.849
horse,transverse,12,54.518,0.1,0.1,0.277835,10.9894,0.239299,704
horse,transverse,12,54.518,0.1,0.1,0.287282,9.18362,0.303256,704
horse,transverse,12,54.518,0.1,0.1,0.29673,7.02732,0.148784,631.375
horse,transverse,12,54.518,0.1,0.1,0.306178,4.79412,0.0140596,493.679
horse,transverse,12,54.518,0.1,0.1,0.306178,4.79412,0.0140596,493.679
horse,transverse,12,54.518,0.1,0.1,0.308678,4.24231,5.16417e-05,447.115
horse,transverse,12,54.518,0.1,0.1,0.311178,3.71505,0.0139158,397.523
horse,transverse,12,54.518,0.1,0.1,0.313678,3.21583,0.0653581,345.83
horse,transverse,12,54.518,0.1,0.1,0.316178,2.74743,0.163474,293.133
horse,transverse,12,54.518,0.1,0.1,0.318678,2.31203,0.315986,240.661
horse,transverse,12,54.518,0.1,0.1,0.321178,1.91115,0.528279,189.778
horse,transverse,12,54.518,0.1,0.1,0.323678,1.5462,0.802438,141.896
horse,transverse,12,54.518,0.1,0.1,0.326178,1.21711,1.13797,98.6258
horse,transverse,12,54.518,0.1,0.1,0.326178,1.21711,1.13797,98.6258
horse,transverse,12,54.518,0.1,0.1,0.33043,0.768908,1.82896,41.849
horse,transverse,12,54.518,0.1,0.1,0.334681,0.456896,2.57525,11.2361
horse,transverse,12,54.518,0.1,0.1,0.338933,0.247035,3.20322,0.949289
horse,transverse,12,54.518,0.1,0.1,0.343185,0.112407,3.52536,0.402052
horse,transverse,12,54.518,0.1,0.1,0.347437,0.034385,3.40784,2.37761
horse,transverse,12,54.518,0.1,0.1,0.351689,0.00181841,2.86835,3.64397
horse,transverse,12,54.518,0.1,0.1,0.35594,0.00926798,2.06643,3.63338
horse,transverse,12,54.518,0.1,0.1,0.360192,0.0534326,1.26055,2.86276
horse,transverse,12,54.518,0.1,0.1,0.360192,0.0534326,1.26055,2.86276
horse,transverse,12,54.518,0.1,0.1,0.36373,0.113778,0.732728,2.14705
horse,transverse,12,54.518,0.1,0.1,0.367268,0.190272,0.393463,1.50048
horse,transverse,12,54.518,0.1,0.1,0.370806,0.27873,0.204076,0.992057
horse,transverse,12,54.518,0.1,0.1,0.374344,0.376647,0.115683,0.621387
horse,transverse,12,54.518,0.1,0.1,0.377882,0.483077,0.0910398,0.368359
horse,transverse,12,54.518,0.1,0.1,0.38142,0.599417,0.1179,0.203312
horse,transverse,12,54.518,0.1,0.1,0.384958,0.729205,0.221422,0.100085
horse,transverse,12,54.518,0.1,0.1,0.388495,0.879831,0.467202,0.0377155
horse,transverse,12,54.518,0.1,0.1,0.388495,0.879831,0.467202,0.0377155
horse,transverse,12,54.518,0.1,0.1,0.390995,0.990338,0.813781,0.0188672
horse,transverse,12,54.518,0.1,0.1,0.393495,1.08924,1.42017,0.0148046
horse,transverse,12,54.518,0.1,0.1,0.395995,1.17788,2.37626,0.0154891
horse,transverse,12,54.518,0.1,0.1,0.398495,1.25925,3.75733,0.0160239
horse,transverse,12,54.518,0.1,0.1,0.400995,1.33554,5.6285,0.0139282
horse,transverse,12,54.518,0.1,0.1,0.403495,1.40646,8.05707,0.0104348
horse,transverse,12,54.518,0.1,0.1,0.405995,1.47109,11.0937,0.00705683
horse,transverse,12,54.518,0.1,0.1,0.408495,1.52923,14.7228,0.00433069
horse,transverse,12,54.518,0.1,0.1,0.408495,1.52923,14.7228,0.00433069
horse,transverse,12,54.518,0.1,0.1,0.410995,1.5726,1.36371,0.000714332
horse,transverse,12,54.518,0.1,0.1,0.413495,1.60258,1.7109,0.000227566
horse,transverse,12,54.518,0.1,0.1,0.415995,1.61645,12.8242,0.00279355
horse,transverse,12,54.518,0.1,0.1,0.418495,1.61239,31.8678,0.00671997
horse,transverse,12,54.518,0.1,0.1,0.420995,1.58903,56.1692,0.00987889
horse,transverse,12,54.518,0.1,0.1,0.423495,1.54579,83.2752,0.0109439
horse,transverse,12,54.518,0.1,0.1,0.425995,1.48255,110.97,0.00958459
horse,transverse,12,54.518,0.1,0.1,0.428495,1.40107,137.396,0.00681367
horse,transverse,12,54.518,0.1,0.1,0.428495,1.40107,137.396,0.00681367
horse,transverse,12,54.518,0.1,0.1,0.434919,1.15752,192.976,0.00364096
horse,transverse,12,54.518,0.1,0.1,0.441343,0.905446,222.75,0.00360796
horse,transverse,12,54.518,0.1,0.1,0.447767,0.668372,222.75,0.00107254
horse,transverse,12,54.518,0.1,0.1,0.454191,0.45352,194.784,0.00293749
horse,transverse,12,54.518,0.1,0.1,0.460615,0.261041,144.634,0.0369107
horse,transverse,12,54.518,0.1,0.1,0.467039,0.100011,83.0269,0.116998
horse,transverse,12,54.518,0.1,0.1,0.473463,0.00619873,27.4026,0.268653
horse,transverse,12,54.518,0.1,0.1,0.479887,0.0415859,0.297753,0.637684
horse,transverse,12,54518,100,100,0,8.5069,6.48003,2.41126
horse,transverse,12,54518,100,100,0.028338,11.3185,20.3349,2.91691
horse,transverse,12,54518,100,100,0.056676,33.2122,0.000678351,2.12732
horse,transverse,12,54518,100,100,0.0850141,23.8294,1.01875,0.552862
horse,transverse,12,54518,100,100,0.113352,27.7916,0.0839172,0.161993
horse,transverse,12,54518,100,100,0.14169,27.1002,0.128988,0.0461503
horse,transverse,12,54518,100,100,0.170028,28.6946,0.162183,0.0102797
horse,transverse,12,54518,100,100,0.198366,32.6653,1.08361,0.095083
horse,transverse,12,54518,100,100,0.226704,39.3007,2.53207,2.51405
horse,transverse,12,54518,100,100,0.226704,39.3007,2.53207,2.51405
horse,transverse,12,54518,100,100,0.235703,36.7513,2.57558,59.4769
horse,transverse,12,54518,100,100,0.244701,26.2215,1.7735,234.777
horse,transverse,12,54518,100,100,0.2537,15.267,0.731082,442.128
horse,transverse,12,54518,100,100,0.262698,7.31303,0.139764,612.628
horse,transverse,12,54518,100,100,0.271697,3.46116,0.00884976,704
horse,transverse,12,54518,100,100,0.280696,3.15302,0.0161307,704
horse,transverse,12,54518,100,100,0.289694,5.9902,0.1906,616.126
horse,transverse,12,54518,100,100,0.298693,11.3202,0.610883,454.859
horse,transverse,12,54518,100,100,0.298693,11.3202,0.610883,454.859
horse,transverse,12,54518,100,100,0.301193,13.1663,0.739989,401.611
horse,transverse,12,54518,100,100,0.303693,14.3453,0.90392,345.714
horse,transverse,12,54518,100,100,0.306194,14.8651,1.09744,288.758
horse,transverse,12,54518,100,100,0.308694,14.8054,1.31344,232.438
horse,transverse,12,54518,100,100,0.311194,14.2637,1.54377,178.481
horse,transverse,12,54518,100,100,0.313694,13.3411,1.78109,128.637
horse,transverse,12,54518,100,100,0.316195,12.1386,2.01819,84.6422
horse,transverse,12,54518,100,100,0.318695,10.759,2.2495,48.2067
horse,transverse,12,54518,100,100,0.318695,10.759,2.2495,48.2067
horse,transverse,12,54518,100,100,0.325195,4.94007,2.7864,3.93723
horse,transverse,12,54518,100,100,0.331695,0.313609,3.07032,0.828733
horse,transverse,12,54518,100,100,0.338195,1.45635,2.92266,4.36092
horse,transverse,12,54518,100,100,0.344695,7.43236,2.33819,5.15356
horse,transverse,12,54518,100,100,0.351195,13.665,1.46863,4.01774
horse,transverse,12,54518,100,100,0.357695,16.5969,0.647321,2.51075
horse,transverse,12,54518,100,100,0.364195,16.446,0.150379,1.4679
horse,transverse,12,54518,100,100,0.370695,15.747,0.0010562,0.872364
horse,transverse,12,54518,100,100,0.370695,15.747,0.0010562,0.872364
horse,transverse,12,54518,100,100,0.373195,15.9957,0.00530038,0.746636
horse,transverse,12,54518,100,100,0.375695,16.7425,0.0235714,0.639956
horse,transverse,12,54518,100,100,0.378195,18.0129,0.0448646,0.544352
horse,transverse,12,54518,100,100,0.380695,19.8121,0.0625601,0.454397
horse,transverse,12,54518,100,100,0.383195,22.173,0.0731023,0.368346
horse,transverse,12,54518,100,100,0.385695,25.1415,0.0749249,0.287391
horse,transverse,12,54518,100,100,0.388195,28.8127,0.0678094,0.214174
horse,transverse,12,54518,100,100,0.390695,33.1014,0.053803,0.149852
horse,transverse,12,54518,100,100,0.390695,33.1014,0.053803,0.149852
horse,transverse,12,54518,100,100,0.395825,49.1549,0.00934277,0.0788767
horse,transverse,12,54518,100,100,0.400954,78.3469,0.0199794,0.059001
horse,transverse,12,54518,100,100,0.406084,116.855,0.205415,0.0517308
horse,transverse,12,54518,100,100,0.411214,157.27,0.692398,0.0457814
horse,transverse,12,54518,100,100,0.416343,189.844,1.62218,0.0357959
horse,transverse,12,54518,100,100,0.421473,208.831,3.1622,0.0278008
horse,transverse,12,54518,100,100,0.426603,213.318,5.49438,0.0321617
horse,transverse,12,54518,100,100,0.431733,206.934,8.61581,0.0618666
horse,transverse,12,54518,100,100,0.431733,206.934,8.61581,0.0618666
horse,transverse,12,54518,100,100,0.434233,202.584,0.480625,0.078969
horse,transverse,12,54518,100,100,0.436733,197.66,1.97302,0.0986364
horse,transverse,12,54518,100,100,0.439233,192.373,11.2394,0.119731
horse,transverse,12,54518,100,100,0.441733,186.868,26.4818,0.140766
horse,transverse,12,54518,100,100,0.444233,181.3,45.9877,0.16026
horse,transverse,12,54518,100,100,0.446733,175.81,68.166,0.177146
horse,transverse,12,54518,100,100,0.449233,170.542,91.5604,0.191007
horse,transverse,12,54518,100,100,0.451733,165.531,114.897,0.20135
horse,transverse,12,54518,100,100,0.451733,165.531,114.897,0.20135
horse,transverse,12,54518,100,100,0.458665,146.189,173.074,0.19266
horse,transverse,12,54518,100,100,0.465598,122.122,211.503,0.206197
horse,transverse,12,54518,100,100,0.472531,98.2278,222.75,0.362182
horse,transverse,12,54518,100,100,0.479464,73.3318,206.081,0.753145
