species,gait_type,target_speed_ms,stiffness_Nm_rad,stiffness_normalised,stride_length_m
cheetah,rotary,8,4.55,0.1,2.78469
cheetah,rotary,8,5.2388,0.115138,2.78499
cheetah,rotary,8,6.032,0.132571,2.79124
cheetah,rotary,8,6.9452,0.152642,2.79222
cheetah,rotary,8,7.9967,0.175752,2.78267
cheetah,rotary,8,9.2073,0.202358,2.79176
cheetah,rotary,8,10.6013,0.232996,2.78627
cheetah,rotary,8,12.2063,0.26827,2.7839
cheetah,rotary,8,14.0542,0.308884,2.79366
cheetah,rotary,8,16.182,0.355648,2.79564
cheetah,rotary,8,18.6319,0.409492,2.78943
cheetah,rotary,8,21.4526,0.471486,2.80095
cheetah,rotary,8,24.7005,0.542868,2.79176
cheetah,rotary,8,28.44,0.625055,2.80074
cheetah,rotary,8,32.7457,0.719686,2.80048
cheetah,rotary,8,37.7032,0.828642,2.78486
cheetah,rotary,8,43.4113,0.954095,2.7863
cheetah,rotary,8,49.9836,1.09854,2.78087
cheetah,rotary,8,57.5509,1.26485,2.78283
cheetah,rotary,8,66.2639,1.45635,2.79742
cheetah,rotary,8,76.2959,1.67683,2.83253
cheetah,rotary,8,87.8467,1.9307,2.81201
cheetah,rotary,8,101.146,2.223,2.80056
cheetah,rotary,8,116.459,2.55955,2.78872
cheetah,rotary,8,134.091,2.94705,2.8018
cheetah,rotary,8,154.392,3.39322,2.7923
cheetah,rotary,8,177.766,3.90694,2.74829
cheetah,rotary,8,204.679,4.49843,2.70561
cheetah,rotary,8,235.666,5.17947,2.69494
cheetah,rotary,8,271.345,5.96362,2.68644
cheetah,rotary,8,312.425,6.86649,2.65832
cheetah,rotary,8,359.725,7.90604,2.65312
cheetah,rotary,8,414.186,9.10298,2.61743
cheetah,rotary,8,476.892,10.4811,2.57725
cheetah,rotary,8,549.091,12.0679,2.53537
cheetah,rotary,8,632.22,13.895,2.50452
cheetah,rotary,8,727.936,15.9986,2.47884
cheetah,rotary,8,838.142,18.4207,2.4595
cheetah,rotary,8,965.033,21.2095,2.44552
cheetah,rotary,8,1111.13,24.4205,2.43602
cheetah,rotary,8,1279.35,28.1177,2.43099
cheetah,rotary,8,1473.04,32.3746,2.42974
cheetah,rotary,8,1696.06,37.2759,2.43004
cheetah,rotary,8,1952.83,42.9193,2.42915
cheetah,rotary,8,2248.48,49.4171,2.42774
cheetah,rotary,8,2588.89,56.8987,2.42854
cheetah,rotary,8,2980.83,65.5129,2.42707
cheetah,rotary,8,3432.12,75.4312,2.4261
cheetah,rotary,8,3951.73,86.8511,2.42535
cheetah,rotary,8,4550,100,2.42428
cheetah,rotary,10,4.55,0.1,3.47706
cheetah,rotary,10,5.2388,0.115138,3.47853
cheetah,rotary,10,6.032,0.132571,3.47753
cheetah,rotary,10,6.9452,0.152642,3.47426
cheetah,rotary,10,7.9967,0.175752,3.47513
cheetah,rotary,10,9.2073,0.202358,3.47299
cheetah,rotary,10,10.6013,0.232996,3.47105
cheetah,rotary,10,12.2063,0.26827,3.4701
cheetah,rotary,10,14.0542,0.308884,3.46696
cheetah,rotary,10,16.182,0.355648,3.44759
cheetah,rotary,10,18.6319,0.409492,3.44918
cheetah,rotary,10,21.4526,0.471486,3.44162
cheetah,rotary,10,24.7005,0.542868,3.43845
cheetah,rotary,10,28.44,0.625055,3.43307
cheetah,rotary,10,32.7457,0.719686,3.43184
cheetah,rotary,10,37.7032,0.828642,3.43103
cheetah,rotary,10,43.4113,0.954095,3.42842
cheetah,rotary,10,49.9836,1.09854,3.42849
cheetah,rotary,10,57.5509,1.26485,3.42096
cheetah,rotary,10,66.2639,1.45635,3.41748
cheetah,rotary,10,76.2959,1.67683,3.41379
cheetah,rotary,10,87.8467,1.9307,3.40066
cheetah,rotary,10,101.146,2.223,3.39183
cheetah,rotary,10,116.459,2.55955,3.38011
cheetah,rotary,10,134.091,2.94705,3.36971
cheetah,rotary,10,154.392,3.39322,3.35356
cheetah,rotary,10,177.766,3.90694,3.33797
cheetah,rotary,10,204.679,4.49843,3.31742
cheetah,rotary,10,235.666,5.17947,3.30864
cheetah,rotary,10,271.345,5.96362,3.29256
cheetah,rotary,10,312.425,6.86649,3.2734
cheetah,rotary,10,359.725,7.90604,3.24731
cheetah,rotary,10,414.186,9.10298,3.21804
cheetah,rotary,10,476.892,10.4811,3.14033
cheetah,rotary,10,549.091,12.0679,3.10313
cheetah,rotary,10,632.22,13.895,3.11134
cheetah,rotary,10,727.936,15.9986,3.07455
cheetah,rotary,10,838.142,18.4207,3.03264
cheetah,rotary,10,965.033,21.2095,2.94939
cheetah,rotary,10,1111.13,24.4205,2.92515
cheetah,rotary,10,1279.35,28.1177,2.91544
cheetah,rotary,10,1473.04,32.3746,2.90982
cheetah,rotary,10,1696.06,37.2759,2.90704
cheetah,rotary,10,1952.83,42.9193,2.90869
cheetah,rotary,10,2248.48,49.4171,2.90836
cheetah,rotary,10,2588.89,56.8987,2.91175
cheetah,rotary,10,2980.83,65.5129,2.91813
cheetah,rotary,10,3432.12,75.4312,2.92504
cheetah,rotary,10,3951.73,86.8511,2.93034
cheetah,rotary,10,4550,100,2.93048
cheetah,rotary,12,4.55,0.1,4.19385
cheetah,rotary,12,5.2388,0.115138,4.19271
cheetah,rotary,12,6.032,0.132571,4.18346
cheetah,rotary,12,6.9452,0.152642,4.18473
cheetah,rotary,12,7.9967,0.175752,4.18378
cheetah,rotary,12,9.2073,0.202358,4.18437
cheetah,rotary,12,10.6013,0.232996,4.1768
cheetah,rotary,12,12.2063,0.26827,4.18025
cheetah,rotary,12,14.0542,0.308884,4.17922
cheetah,rotary,12,16.182,0.355648,4.17611
cheetah,rotary,12,18.6319,0.409492,4.17038
cheetah,rotary,12,21.4526,0.471486,4.17355
cheetah,rotary,12,24.7005,0.542868,4.15987
cheetah,rotary,12,28.44,0.625055,4.16152
cheetah,rotary,12,32.7457,0.719686,4.16667
cheetah,rotary,12,37.7032,0.828642,4.16633
cheetah,rotary,12,43.4113,0.954095,4.15613
cheetah,rotary,12,49.9836,1.09854,4.15598
cheetah,rotary,12,57.5509,1.26485,4.15043
cheetah,rotary,12,66.2639,1.45635,4.14466
cheetah,rotary,12,76.2959,1.67683,4.14432
cheetah,rotary,12,87.8467,1.9307,4.14293
cheetah,rotary,12,101.146,2.223,4.13679
cheetah,rotary,12,116.459,2.55955,4.13436
cheetah,rotary,12,134.091,2.94705,4.12286
cheetah,rotary,12,154.392,3.39322,4.12215
cheetah,rotary,12,177.766,3.90694,4.11451
cheetah,rotary,12,204.679,4.49843,4.06896
cheetah,rotary,12,235.666,5.17947,4.03189
cheetah,rotary,12,271.345,5.96362,3.96526
cheetah,rotary,12,312.425,6.86649,3.93123
cheetah,rotary,12,359.725,7.90604,3.96931
cheetah,rotary,12,414.186,9.10298,3.85537
cheetah,rotary,12,476.892,10.4811,3.81119
cheetah,rotary,12,549.091,12.0679,3.78631
cheetah,rotary,12,632.22,13.895,3.72343
cheetah,rotary,12,727.936,15.9986,3.65229
cheetah,rotary,12,838.142,18.4207,3.60338
cheetah,rotary,12,965.033,21.2095,3.55168
cheetah,rotary,12,1111.13,24.4205,3.52815
