species,gait,target_speed_ms,stiffness_Nm_rad,stiffness_normalised,sum_tau_norm_sq,peak_tau_norm,p95_tau_norm,pct_stride_above_80,pct_stride_above_90,positive_joint_work_J,solver_success,notes
cheetah,rotary,8,4.55,0.1,55.512,1,0.562281,21.1357,11.8882,814.271,1,
cheetah,rotary,8,5.2388,0.115138,55.7955,0.99622,0.565591,21.1435,12.6523,815.223,1,
cheetah,rotary,8,6.032,0.132571,81.9494,0.999972,0.77991,41.3929,35.9466,814.838,1,
cheetah,rotary,8,6.9452,0.152642,82.3879,0.999986,0.790327,41.4119,35.9719,816.042,1,
cheetah,rotary,8,7.9967,0.175752,80.6867,0.991601,0.779323,40.3962,35.2777,814.543,1,
cheetah,rotary,8,9.2073,0.202358,83.0121,0.999992,0.79547,40.2993,36.7851,818.682,1,
cheetah,rotary,8,10.6013,0.232996,81.5712,0.990118,0.78746,39.4057,36.0862,819.932,1,
cheetah,rotary,8,12.2063,0.26827,81.0038,0.988767,0.78557,39.4223,36.1016,820.037,1,
cheetah,rotary,8,14.0542,0.308884,82.9604,0.999985,0.795549,40.231,36.7339,824.609,1,
cheetah,rotary,8,16.182,0.355648,83.292,1,0.796711,40.9892,36.7498,826.492,1,
cheetah,rotary,8,18.6319,0.409492,81.1841,0.989232,0.784266,39.3758,36.0567,825.822,1,
cheetah,rotary,8,21.4526,0.471486,82.7437,0.999983,0.800405,40.9863,36.7531,832.599,1,
cheetah,rotary,8,24.7005,0.542868,80.8875,0.990164,0.782532,39.3587,35.0002,831.777,1,
cheetah,rotary,8,28.44,0.625055,78.7216,0.999822,0.765552,39.3925,32.3528,839.15,1,
cheetah,rotary,8,32.7457,0.719686,82.5553,0.999952,0.801475,40.6063,35.7973,840.724,1,
cheetah,rotary,8,37.7032,0.828642,87.7153,0.999999,0.901059,44.7612,40.9385,844.502,1,
cheetah,rotary,8,43.4113,0.954095,83.4147,0.987187,0.850225,42.1797,39.0289,842.89,1,
cheetah,rotary,8,49.9836,1.09854,87.5186,0.999998,0.896716,43.6016,40.404,846.668,1,
cheetah,rotary,8,57.5509,1.26485,83.1592,1,0.841143,42.5593,37.2843,852.6,1,
cheetah,rotary,8,66.2639,1.45635,76.9686,0.999994,0.688908,35.5161,31.4347,865.506,1,
cheetah,rotary,8,76.2959,1.67683,65.6427,0.999997,0.621064,25.221,20.7576,859.641,1,
cheetah,rotary,8,87.8467,1.9307,68.4065,0.999998,0.649391,30.4252,23.069,859.651,1,
cheetah,rotary,8,101.146,2.223,68.996,0.999865,0.653563,31.4234,23.9233,861.309,1,
cheetah,rotary,8,116.459,2.55955,71.9657,0.999965,0.671453,32.9736,26.939,861.204,1,
cheetah,rotary,8,134.091,2.94705,68.068,0.999999,0.641243,29.5299,25.4015,866.642,1,
cheetah,rotary,8,154.392,3.39322,68.0875,0.999658,0.646277,31.488,25.4432,866.516,1,
cheetah,rotary,8,177.766,3.90694,68.6703,1,0.645801,32.3209,25.5919,870.192,1,
cheetah,rotary,8,204.679,4.49843,76.3169,0.999985,0.741602,37.6552,35.1339,878.973,1,
