display_name,label,stiffness_abs,stiffness_norm,n_seeds,n_success,success_rate_pct,best_cost,worst_cost,spread_max_min,std_cost,ref_cost,ref_stiffness_norm,ref_stiff_match_dist,delta_best_minus_ref,delta_pct
Cheetah Rotary,cheetah_extended,5.2388,0.115138,5,5,100.0,258.199,799.038,540.839,225.472,64.0627,0.115138,0,194.136,303.04
Cheetah Transverse,cheetah_grounded,5.2388,0.115138,5,5,100.0,54.7654,961.988,907.223,370.199,87.2269,0.115138,0,-32.4616,-37.22
Horse Rotary,horse_extended,62.8178,0.115139,5,5,100.0,115.428,412.767,297.338,106.424,178.289,0.115055,8.43139e-05,-62.8607,-35.26
Horse Transverse,horse_grounded,62.8178,0.115139,5,4,80.0,98.5161,383.746,285.23,127.66,192.536,0.115055,8.43139e-05,-94.0195,-48.83
Cheetah Rotary,cheetah_extended,838.142,18.4207,5,5,100.0,146.701,726.117,579.415,220.649,57.6233,18.4207,0,89.0781,154.59
Cheetah Transverse,cheetah_grounded,838.142,18.4207,5,5,100.0,57.3157,420.608,363.292,148.373,85.9512,18.4207,0,-28.6355,-33.32
Cheetah Rotary,cheetah_extended,3951.73,86.8511,5,5,100.0,135.864,439.643,303.779,125.79,62.8739,86.8511,0,72.9898,116.09
Cheetah Transverse,cheetah_grounded,3951.73,86.8511,5,5,100.0,162.27,410.502,248.232,95.598,85.2118,86.8511,0,77.0577,90.43
Horse Rotary,horse_extended,10050,18.4207,5,5,100.0,30.0427,323.667,293.624,137.198,165.92,18.4072,0.0135053,-135.877,-81.89
Horse Transverse,horse_grounded,10050,18.4207,5,5,100.0,71.0935,195.355,124.262,60.9417,185.311,18.4072,0.0135053,-114.217,-61.64
Horse Rotary,horse_extended,47384.2,86.8511,5,5,100.0,12.4383,338.516,326.077,122.301,166.913,86.7875,0.0636761,-154.475,-92.55
Horse Transverse,horse_grounded,47384.2,86.8511,5,5,100.0,12.9894,170.263,157.274,59.7275,178.906,86.7875,0.0636761,-165.916,-92.74
